model,season,n,n_lined,mae,market_mae,mae_edge_vs_market,bias,market_bias,dir_acc,pct_over_model,pct_over_actual
challenger_seasonnorm,2024,2003,1488,3.2286436860259142,3.3327616580702415,0.10411797204432727,0.11876924495674923,-0.3691552948759206,0.5823806321452589,0.6297043010752689,0.49193548387096775
champion_v4,2024,2003,1488,3.211897209766302,3.3327616580702415,0.12086444830393939,-0.3229064443953897,-0.3691552948759206,0.5938130464021519,0.49193548387096775,0.49193548387096775
challenger_seasonnorm,2025,2027,1548,3.432331767042895,3.5267038044098578,0.09437203736696276,0.18981319307536035,-0.29090610669498035,0.5802069857697283,0.6627906976744186,0.46770025839793283
champion_v4,2025,2027,1548,3.535040463224839,3.5267038044098578,-0.008336658814981135,0.703325695819451,-0.29090610669498035,0.5310478654592496,0.8307493540051679,0.46770025839793283
challenger_seasonnorm,2026,751,407,3.314524700113604,3.286266956691598,-0.028257743422006154,-0.10395527176767691,-0.4491786365889237,0.6039603960396039,0.6437346437346437,0.515970515970516
champion_v4,2026,751,407,3.3454655822946764,3.286266956691598,-0.059198625603078536,0.05555436277539106,-0.4491786365889237,0.5693069306930693,0.7223587223587223,0.515970515970516
