season,week_of_season,games,avg_total,within_season_dev,season_shape,deseason_level,cusum_pos,cusum_neg,regime_shift_flag,shift_direction,cusum_baseline,run_env_regime_state
2021,0,46,9.58695652173913,0.5089597747520411,-0.11931923071235051,9.706275752451482,0.39635058011617197,0.0,False,,9.05992517233531,9.706275752451482
2021,1,87,8.839080459770114,-0.23891628721697522,0.07055695666649726,8.768523503103618,0.0,-0.04140166923169275,False,,9.05992517233531,9.557076007976343
2021,2,96,8.083333333333334,-0.9946634136537558,-0.42665442116079166,8.509987754494126,0.0,-0.3413390870728765,False,,9.05992517233531,9.390480513301595
2021,3,89,8.539325842696629,-0.5386709042904609,-0.15644072043434618,8.695766563130976,0.0,-0.45549769627721126,False,,9.05992517233531,9.279949033456198
2021,4,95,8.778947368421052,-0.2990493785660373,-0.17419442182351044,8.953141790244564,0.0,-0.31228107836795793,False,,9.05992517233531,9.227952829540175
2021,5,93,9.0,-0.0779967469870897,-0.003466384765368128,9.003466384765368,0.0,-0.11873986593790065,False,,9.05992517233531,9.192236231449554
2021,6,93,8.78494623655914,-0.2930505104279497,-0.43378094626827934,9.218727182827418,0.0,0.0,False,,9.05992517233531,9.196451036777113
2021,7,95,9.094736842105263,0.016740095118173315,0.09853342722189466,8.996203414883368,0.0,0.0,False,,9.05992517233531,9.164590922296899
2021,8,92,7.793478260869565,-1.2845184861175243,-0.33797389846823966,8.131452159337805,0.0,-0.6784730129975056,False,,9.05992517233531,9.000214841569765
2021,9,96,9.4375,0.3595032530129103,0.04302056625331385,9.394479433746685,0.08455426141137501,-0.09391875158613061,False,,9.05992517233531,9.062943751523646
2021,10,87,9.448275862068966,0.3702791150818765,-0.05047407859414014,9.498749940663107,0.2733790297391714,0.0,False,,9.05992517233531,9.132282078470352
2021,11,99,9.141414141414142,0.06341739442705219,0.2091516149518403,8.932262526462301,0.0,0.0,False,,9.05992517233531,9.100458250726525
2021,12,91,8.296703296703297,-0.7812934502837923,-0.19307262812053166,8.48977592482383,0.0,-0.32014924751148044,False,,9.05992517233531,9.003296503534207
2021,13,95,9.884210526315789,0.806213779328699,0.4234886123033853,9.460721914012403,0.15079674167709278,0.0,False,,9.05992517233531,9.07607452609533
2021,14,94,9.595744680851064,0.5177479338639746,0.1708777553465776,9.424866925504487,0.26573849484626955,0.0,False,,9.05992517233531,9.131568647173584
2021,15,46,9.521739130434783,0.44374238344769346,0.5746277824082213,8.947111348026562,0.0,0.0,False,,9.05992517233531,9.102220829646674
2021,16,95,8.842105263157896,-0.23589148382919412,-0.06753971506245797,8.909644978220353,0.0,0.0,False,,9.05992517233531,9.071581321349178
2021,17,95,9.294736842105262,0.2167400951181726,0.0056076515665758105,9.289129190538686,0.0,0.0,False,,9.05992517233531,9.106193967191146
2021,18,96,9.166666666666666,0.08866991967957638,-0.08716690804491414,9.25383357471158,0.0,0.0,False,,9.05992517233531,9.129683957998182
2021,19,93,9.763440860215054,0.6854441132279643,0.4412929590545964,9.322147901160458,0.0122227288251473,0.0,False,,9.05992517233531,9.160305661289705
2021,20,94,8.563829787234043,-0.5141669597530463,0.1441901171249654,8.419639670109078,0.0,-0.3902855022262326,False,,9.05992517233531,9.042463046993207
2021,21,91,9.263736263736265,0.18573951674917488,0.11974650742546977,9.143989756310795,0.0,-0.05622091825074804,False,,9.05992517233531,9.058616310393129
2021,22,93,9.634408602150538,0.5564118551634483,0.38034331182528297,9.254065290325254,0.0,0.0,False,,9.05992517233531,9.089712943735334
