kind,market,book_group,season,n,n_brier,brier,log_loss,over_rate,implied_over_rate,calib_bias,calib_z,calib_p,mean_vig,mean_dist_to_sharp,line_mae,line_rmse,push_rate,n_line,calib_fdr_survive,favorite_rate,tie_rate,strategy,line_bucket,roi,sharpe,roi_p,roi_fdr_survive,season_sign_consistent
efficiency,totals_1st_5_innings,all,2023,8882,8560.0,0.243724768091372,0.6793500467260787,0.5157710280373832,0.5087019585095214,0.007069069527861793,1.3087155985926024,0.19063070589284392,0.06027376224483034,0.011914990212088299,2.7467912632290026,3.534849183208489,0.03625309614951588,8882.0,,,,,,,,,,
efficiency,totals_1st_5_innings,all,2024,15769,15023.0,0.24890840869990052,0.6909575002225258,0.4941755974172935,0.49814376478417594,-0.003968167366882436,-0.9728094444753974,0.3306480178645701,0.05857581184225929,,2.535544422601306,3.28280503973525,0.047308009385503204,15769.0,,,,,,,,,,
efficiency,totals_1st_5_innings,all,2025,10240,9758.0,0.2501683308991497,0.6934852323376799,0.485447837671654,0.5005638964637544,-0.015116058792100429,-2.987672502392762,0.00281110604558923,0.06166359955653346,,2.5357421875,3.2931480711850782,0.0470703125,10240.0,,,,,,,,,,
efficiency,totals_1st_5_innings,all,2026,6467,6185.0,0.24933056837226678,0.6918076274162233,0.5091350040420372,0.5001211454471365,0.00901385859490067,1.4180223722598,0.15618423316759425,0.06151461827665245,,2.5078088758311425,3.250590221292676,0.04360599969073759,6467.0,,,,,,,,,,
efficiency,totals_1st_5_innings,all,pooled,41358,39526.0,0.2481629099088479,0.6892007791969503,0.49903860749886153,0.5013372041056022,-0.0022985966067406993,-0.9139764232017447,0.36072923439747273,0.060164510591740016,0.011914990212088299,2.576623627835002,3.3361308923969952,0.04429614584844528,41358.0,False,,,,,,,,,
efficiency,totals_1st_5_innings,pinnacle,2023,6,5.0,0.2454697750211227,0.6840795801616463,0.4,0.4934705111132519,-0.09347051111325189,-0.4266325616522114,0.6696469771478069,0.03351162497966598,0.0,4.083333333333333,5.748188120326844,0.16666666666666666,6.0,,,,,,,,,,
efficiency,totals_1st_5_innings,pinnacle,pooled,6,5.0,0.2454697750211227,0.6840795801616463,0.4,0.4934705111132519,-0.09347051111325189,-0.4266325616522114,0.6696469771478069,0.03351162497966598,0.0,4.083333333333333,5.748188120326844,0.16666666666666666,6.0,False,,,,,,,,,
efficiency,totals_1st_5_innings,soft,2023,8876,8555.0,0.24372374821590173,0.6793472825335389,0.5158386908240795,0.5087108605828098,0.007127830241269728,1.3192143223121153,0.18709747144890837,0.060291852918961816,0.01567761870011618,2.7458877872915726,3.532884050756312,0.036164939161784586,8876.0,,,,,,,,,,
efficiency,totals_1st_5_innings,soft,2024,15769,15023.0,0.24890840869990052,0.6909575002225258,0.4941755974172935,0.49814376478417594,-0.003968167366882436,-0.9728094444753974,0.3306480178645701,0.05857581184225929,,2.535544422601306,3.28280503973525,0.047308009385503204,15769.0,,,,,,,,,,
efficiency,totals_1st_5_innings,soft,2025,10240,9758.0,0.2501683308991497,0.6934852323376799,0.485447837671654,0.5005638964637544,-0.015116058792100429,-2.987672502392762,0.00281110604558923,0.06166359955653346,,2.5357421875,3.2931480711850782,0.0470703125,10240.0,,,,,,,,,,
