relation,tau,book_group,n_games,n_quotes,roi,sharpe,roi_p,roi_fdr_survive,season_sign_consistent,is_control
props_to_team_total,0.75,all,2270,26826,-0.06657868968422574,-0.08138132756883351,0.9999472050198556,False,True,False
props_to_team_total,0.75,pinnacle,2252,2796,-0.04283903926185324,-0.04968445862348067,0.9908079059613215,False,True,False
props_to_team_total,0.75,soft,2270,24030,-0.06941615882752564,-0.08519546032336388,0.9999753685292326,False,True,False
props_to_team_total,0.75,majors,2270,7463,-0.0717335830413827,-0.08848781943594329,0.9999875640755415,False,True,False
props_to_team_total,0.85,all,1114,11542,-0.06469430662219657,-0.07639088361054172,0.9946087676827376,False,True,False
props_to_team_total,0.85,pinnacle,1100,1242,-0.037389978605012766,-0.04232322203701076,0.9197962672980174,False,True,False
props_to_team_total,0.85,soft,1114,10300,-0.06790877234101315,-0.08046461457780239,0.9963804301879393,False,True,False
props_to_team_total,0.85,majors,1114,3103,-0.06569032048018088,-0.07845934387073882,0.9955868418140678,False,True,False
props_to_team_total,0.9,all,623,6098,-0.04932372690110832,-0.057489844171552985,0.9243485671496195,False,False,False
props_to_team_total,0.9,pinnacle,611,671,-0.019028929203200703,-0.021390467308128745,0.7015065430914843,False,False,False
props_to_team_total,0.9,soft,623,5427,-0.05279098414765647,-0.061719236249272745,0.9382819757410914,False,False,False
props_to_team_total,0.9,majors,623,1594,-0.045915152751955936,-0.054223130623254095,0.9120372749767016,False,False,False
props_to_team_total,0.95,all,302,2771,-0.028944438966304522,-0.03342506810496546,0.7193345325359273,False,False,False
props_to_team_total,0.95,pinnacle,295,315,-0.0053027937052382785,-0.005890830694650212,0.54029555460865,False,False,False
props_to_team_total,0.95,soft,302,2456,-0.03260896726495657,-0.03778915667646095,0.7443148600991211,False,False,False
props_to_team_total,0.95,majors,302,706,-0.01852576658208845,-0.021548498938014575,0.6459737746307798,False,False,False
props_to_team_total,0.975,all,176,1542,-0.0898528850068112,-0.10162320708740939,0.9112004260926331,False,False,False
props_to_team_total,0.975,pinnacle,171,177,-0.08857690451842808,-0.09740324875186385,0.8986173826675359,False,False,False
props_to_team_total,0.975,soft,176,1365,-0.0916617001288058,-0.10396890191587058,0.9160993779627077,False,False,False
props_to_team_total,0.975,majors,176,386,-0.08445478365120879,-0.09582178178790592,0.8981747299976867,False,False,False
team_total_to_game_total,0.75,all,1342,22578,0.0021328475141994658,0.002340943684737949,0.4658299796632086,False,False,False
