config,book_group,line_bucket,tau,anchor,n_bets,roi_net_vig,sharpe,roi_2023,n_2023,roi_2024,n_2024,roi_2025,n_2025,roi_2026,n_2026
mybookieag|high_ge6p5|tau0.1|pinnacle,mybookieag,high_ge6p5,0.1,pinnacle,352,0.02894,0.03188,-0.08725,111,0.07761,146,0.06495,65,0.14399,30
williamhill_us|low_le4p5|tau0.1|book,williamhill_us,low_le4p5,0.1,book,698,0.02882,0.03039,0.06075,260,-0.03876,361,0.23789,77,,0
all|low_le4p5|tau0.1|book,all,low_le4p5,0.1,book,10790,0.02874,0.02865,0.06714,2530,-0.01537,3385,0.03672,3687,0.04789,1188
fanduel|high_ge6p5|tau0.1|book,fanduel,high_ge6p5,0.1,book,591,0.02855,0.03095,0.01353,177,0.0554,190,0.00104,157,0.05661,67
fanatics|mid_5p5|tau0.1|book,fanatics,mid_5p5,0.1,book,152,0.02854,0.02956,,0,,0,0.04197,113,-0.01035,39
majors|low_le4p5|tau0.1|book,majors,low_le4p5,0.1,book,4248,0.02826,0.02918,0.04831,968,-0.02011,1442,0.06211,1384,0.0359,454
soft|high_ge6p5|tau0.1|book,soft,high_ge6p5,0.1,book,5036,0.02808,0.03119,-0.02459,1593,0.0818,1789,0.00212,1183,0.06739,471
bovada|high_ge6p5|tau0.1|book,bovada,high_ge6p5,0.1,book,479,0.02788,0.02982,-0.09728,74,0.03669,186,0.04598,151,0.0998,68
betmgm|low_le4p5|tau0.1|book,betmgm,low_le4p5,0.1,book,1164,0.02779,0.02881,0.07659,236,-0.01315,352,0.05346,433,-0.0297,143
unibet_us|all|tau0.1|book,unibet_us,all,0.1,book,699,0.02675,0.02414,0.02738,442,0.02567,257,,0,,0
barstool|mid_5p5|tau0.08|pinnacle,barstool,mid_5p5,0.08,pinnacle,28,0.02671,0.02718,0.02671,28,,0,,0,,0
fanatics|low_le4p5|tau0.08|book,fanatics,low_le4p5,0.08,book,604,0.02535,0.02611,,0,,0,-0.00104,488,0.1364,116
all|high_ge6p5|tau0.1|book,all,high_ge6p5,0.1,book,5590,0.02486,0.02756,-0.02741,1748,0.07947,1980,-0.00283,1327,0.06224,535
fanatics|mid_5p5|tau0.1|pinnacle,fanatics,mid_5p5,0.1,pinnacle,136,0.0246,0.02546,,0,,0,0.02736,99,0.0172,37
fanatics|low_le4p5|tau0.06|book,fanatics,low_le4p5,0.06,book,766,0.0239,0.02464,,0,,0,0.00173,617,0.11574,149
fanatics|low_le4p5|tau0.1|book,fanatics,low_le4p5,0.1,book,465,0.02333,0.02388,,0,,0,-0.00556,376,0.14538,89
betonlineag|low_le4p5|tau0.1|pinnacle,betonlineag,low_le4p5,0.1,pinnacle,1032,0.02327,0.02363,0.0961,163,-0.01078,348,0.01956,421,0.03865,100
betonlineag|low_le4p5|tau0.08|book,betonlineag,low_le4p5,0.08,book,1496,0.02326,0.02374,0.02344,236,-0.02441,505,0.04369,598,0.0985,157
betrivers|low_le4p5|tau0.08|book,betrivers,low_le4p5,0.08,book,1200,0.02326,0.02031,-0.03858,251,-0.03175,311,0.06242,456,0.10444,182
betmgm|all|tau0.1|book,betmgm,all,0.1,book,2324,0.02287,0.02399,0.04506,540,0.0026,757,0.0469,729,-0.02465,298
fanduel|low_le4p5|tau0.1|book,fanduel,low_le4p5,0.1,book,1158,0.02204,0.0225,0.02465,215,0.00126,362,0.03307,423,0.03658,158
betrivers|high_ge6p5|tau0.08|book,betrivers,high_ge6p5,0.08,book,825,0.02194,0.02485,0.00097,217,0.06937,304,-0.01979,221,0.01412,83
williamhill_us|low_le4p5|tau0.1|pinnacle,williamhill_us,low_le4p5,0.1,pinnacle,689,0.02146,0.02259,0.02692,250,-0.03395,362,0.26425,77,,0
superbook|low_le4p5|tau0.1|book,superbook,low_le4p5,0.1,book,129,0.02129,0.02297,,0,0.02129,129,,0,,0
bovada|all|tau0.1|book,bovada,all,0.1,book,2009,0.02102,0.02173,0.00572,235,0.01544,745,0.04132,723,-0.00159,306
soft|all|tau0.1|book,soft,all,0.1,book,19271,0.02094,0.02133,0.02393,5145,0.0058,6604,0.04189,5480,0.00615,2042
fanatics|all|tau0.1|book,fanatics,all,0.1,book,769,0.02094,0.02182,,0,,0,0.00194,606,0.09155,163
betonlineag|high_ge6p5|tau0.1|book,betonlineag,high_ge6p5,0.1,book,521,0.0207,0.02251,-0.08029,128,0.08687,183,0.00959,160,0.07263,50
betmgm|mid_5p5|tau0.1|pinnacle,betmgm,mid_5p5,0.1,pinnacle,537,0.01991,0.02065,0.00682,145,0.00035,188,0.12987,133,-0.10752,71
draftkings|all|tau0.1|book,draftkings,all,0.1,book,2421,0.01948,0.02031,0.00021,572,0.0089,778,0.05179,762,0.0021,309
all|all|tau0.1|book,all,all,0.1,book,21684,0.01942,0.01982,0.02207,5719,0.00532,7380,0.04046,6231,0.00147,2354
draftkings|low_le4p5|tau0.08|book,draftkings,low_le4p5,0.08,book,1692,0.0187,0.01933,-0.00411,347,-0.02808,525,0.0568,604,0.06249,216
bovada|high_ge6p5|tau0.08|book,bovada,high_ge6p5,0.08,book,572,0.01714,0.01842,-0.09967,92,0.04641,214,-0.01636,179,0.13761,87
mybookieag|low_le4p5|tau0.1|book,mybookieag,low_le4p5,0.1,book,822,0.01671,0.01734,0.13003,184,-0.00769,292,-0.0556,258,0.07276,88
pinnacle|mid_5p5|tau0.1|book,pinnacle,mid_5p5,0.1,book,592,0.01633,0.01691,-0.03565,159,0.00737,200,0.13656,143,-0.06298,90
majors|high_ge6p5|tau0.1|book,majors,high_ge6p5,0.1,book,2144,0.01601,0.01741,-0.03995,638,0.07285,776,-0.01734,515,0.05686,215
fanduel|low_le4p5|tau0.06|book,fanduel,low_le4p5,0.06,book,2046,0.01574,0.01613,0.00069,390,0.00061,622,0.03256,739,0.02539,295
fanduel|all|tau0.1|book,fanduel,all,0.1,book,2362,0.01536,0.016,-0.00081,541,0.00676,776,0.0512,739,-0.02084,306
betonlineag|all|tau0.1|pinnacle,betonlineag,all,0.1,pinnacle,1946,0.01533,0.01587,-0.01288,376,0.02284,689,0.02587,685,0.00619,196
majors|all|tau0.1|book,majors,all,0.1,book,8596,0.0153,0.01604,0.00735,2231,0.0016,3062,0.05159,2390,-0.01432,913
majors|low_le4p5|tau0.08|book,majors,low_le4p5,0.08,book,5817,0.01521,0.01576,0.01457,1312,-0.02119,1994,0.04834,1874,0.03301,637
unibet_us|mid_5p5|tau0.1|book,unibet_us,mid_5p5,0.1,book,143,0.01488,0.01085,0.03357,83,-0.01097,60,,0,,0
betrivers|low_le4p5|tau0.1|pinnacle,betrivers,low_le4p5,0.1,pinnacle,292,0.01462,0.01498,-0.0138,87,-0.01492,53,0.04486,83,0.03679,69
betonlineag|low_le4p5|tau0.08|pinnacle,betonlineag,low_le4p5,0.08,pinnacle,1386,0.01398,0.01429,0.01545,224,-0.01641,472,0.02157,555,0.08663,135
pointsbetus|mid_5p5|tau0.08|pinnacle,pointsbetus,mid_5p5,0.08,pinnacle,216,0.0136,0.0143,0.03518,153,-0.03882,63,,0,,0
superbook|mid_5p5|tau0.06|pinnacle,superbook,mid_5p5,0.06,pinnacle,143,0.01352,0.01458,,0,0.01352,143,,0,,0
pointsbetus|all|tau0.1|pinnacle,pointsbetus,all,0.1,pinnacle,628,0.01337,0.01422,0.0189,461,-0.00192,167,,0,,0
betrivers|low_le4p5|tau0.08|pinnacle,betrivers,low_le4p5,0.08,pinnacle,417,0.0133,0.01365,-0.0282,124,0.05012,85,0.00846,114,0.0406,94
fanduel|all|tau0.08|book,fanduel,all,0.08,book,3122,0.01328,0.01382,-0.00911,702,0.00074,992,0.04628,1002,0.00174,426
pointsbetus|low_le4p5|tau0.08|pinnacle,pointsbetus,low_le4p5,0.08,pinnacle,389,0.01317,0.01397,0.03515,296,-0.05681,93,,0,,0
draftkings|high_ge6p5|tau0.08|book,draftkings,high_ge6p5,0.08,book,705,0.01269,0.01375,-0.07507,186,0.0718,229,-0.02131,197,0.11467,93
draftkings|low_le4p5|tau0.1|pinnacle,draftkings,low_le4p5,0.1,pinnacle,1193,0.01249,0.01282,0.04665,250,-0.02911,380,0.02112,437,0.04021,126
unibet_us|low_le4p5|tau0.1|book,unibet_us,low_le4p5,0.1,book,288,0.01218,0.01022,0.04306,195,-0.05258,93,,0,,0
betonlineag|mid_5p5|tau0.1|pinnacle,betonlineag,mid_5p5,0.1,pinnacle,469,0.0119,0.01234,-0.03395,103,0.01355,180,0.11107,130,-0.13926,56
soft|low_le4p5|tau0.08|book,soft,low_le4p5,0.08,book,12959,0.01177,0.01183,0.00738,3076,-0.02229,4129,0.02956,4323,0.06567,1431
pointsbetus|all|tau0.08|book,pointsbetus,all,0.08,book,962,0.01138,0.01211,0.00956,707,0.01641,255,,0,,0
all|low_le4p5|tau0.08|book,all,low_le4p5,0.08,book,14660,0.00973,0.0098,0.00698,3424,-0.02501,4651,0.02846,4936,0.05736,1649
betonlineag|low_le4p5|tau0.06|book,betonlineag,low_le4p5,0.06,book,1956,0.00942,0.00966,-0.03333,327,-0.01141,652,0.02717,771,0.07676,206
fanatics|all|tau0.08|book,fanatics,all,0.08,book,1023,0.00927,0.00971,,0,,0,-0.00514,807,0.06308,216
