config,book_group,line_bucket,tau,anchor,n_bets,roi_net_vig,sharpe,roi_2023,n_2023,roi_2024,n_2024,roi_2025,n_2025,roi_2026,n_2026
draftkings|all|tau0.08|pinnacle,draftkings,all,0.08,pinnacle,2986,-0.00664,-0.00692,-0.0417,721,-0.00535,1004,0.01755,926,-0.00191,335
betmgm|mid_5p5|tau0.08|book,betmgm,mid_5p5,0.08,book,790,-0.00687,-0.00715,-0.00156,202,-0.05446,268,0.05451,213,-0.0199,107
betonlineag|all|tau0.08|pinnacle,betonlineag,all,0.08,pinnacle,2548,-0.00691,-0.00717,-0.05548,491,-0.00614,906,0.01542,898,0.00531,253
fanatics|all|tau0.04|book,fanatics,all,0.04,book,1528,-0.00706,-0.0074,,0,,0,-0.01988,1203,0.04038,325
williamhill_us|high_ge6p5|tau0.08|book,williamhill_us,high_ge6p5,0.08,book,471,-0.00711,-0.00788,-0.11035,198,0.07919,223,0.01681,50,,0
soft|low_le4p5|tau0.06|book,soft,low_le4p5,0.06,book,16930,-0.00728,-0.00736,-0.04275,4080,-0.02039,5384,0.01248,5589,0.04856,1877
bovada|low_le4p5|tau0.08|book,bovada,low_le4p5,0.08,book,1422,-0.00745,-0.00761,-0.03562,145,-0.03252,492,-0.00072,563,0.04947,222
fanduel|high_ge6p5|tau0.1|pinnacle,fanduel,high_ge6p5,0.1,pinnacle,457,-0.00779,-0.0084,-0.06051,122,0.08933,156,-0.06336,126,-0.0402,53
bovada|all|tau0.08|pinnacle,bovada,all,0.08,pinnacle,2480,-0.00789,-0.00816,-0.10092,269,-0.00808,963,0.02793,914,-0.03047,334
bovada|low_le4p5|tau0.08|pinnacle,bovada,low_le4p5,0.08,pinnacle,1363,-0.00791,-0.00809,-0.06049,125,-0.04992,497,0.01969,560,0.05837,181
soft|mid_5p5|tau0.1|book,soft,mid_5p5,0.1,book,4712,-0.008,-0.00788,0.00776,1282,-0.03721,1815,0.094,1074,-0.14982,541
bovada|high_ge6p5|tau0.1|pinnacle,bovada,high_ge6p5,0.1,pinnacle,426,-0.00828,-0.00887,-0.2007,60,0.07269,178,-0.02391,136,-0.02255,52
betrivers|high_ge6p5|tau0.04|book,betrivers,high_ge6p5,0.04,book,1351,-0.00831,-0.00912,-0.04563,355,0.01447,476,-0.02943,392,0.07515,128
all|low_le4p5|tau0.08|pinnacle,all,low_le4p5,0.08,pinnacle,12680,-0.00837,-0.00864,-0.00687,2779,-0.04052,4208,-5e-05,4359,0.06277,1334
betrivers|mid_5p5|tau0.08|pinnacle,betrivers,mid_5p5,0.08,pinnacle,152,-0.00842,-0.0087,-0.08987,49,0.07244,26,-0.01754,31,0.03879,46
all|high_ge6p5|tau0.1|pinnacle,all,high_ge6p5,0.1,pinnacle,4195,-0.00842,-0.00916,-0.09756,1218,0.08054,1549,-0.04785,1036,0.02119,392
fanatics|low_le4p5|tau0.08|pinnacle,fanatics,low_le4p5,0.08,pinnacle,506,-0.00845,-0.00862,,0,,0,-0.05428,413,0.19506,93
fanatics|low_le4p5|tau0.06|pinnacle,fanatics,low_le4p5,0.06,pinnacle,643,-0.00852,-0.00872,,0,,0,-0.03944,519,0.1209,124
soft|low_le4p5|tau0.08|pinnacle,soft,low_le4p5,0.08,pinnacle,10979,-0.00877,-0.00906,-0.00835,2431,-0.03966,3686,-0.00344,3746,0.07448,1116
pointsbetus|all|tau0.08|pinnacle,pointsbetus,all,0.08,pinnacle,798,-0.00884,-0.00943,-0.00899,593,-0.00842,205,,0,,0
majors|high_ge6p5|tau0.1|pinnacle,majors,high_ge6p5,0.1,pinnacle,1862,-0.00891,-0.00966,-0.06818,562,0.08419,709,-0.07331,440,-0.03784,151
betonlineag|all|tau0.06|book,betonlineag,all,0.06,book,3578,-0.00893,-0.0093,-0.0364,700,-0.00411,1235,0.01003,1259,-0.03651,384
soft|high_ge6p5|tau0.1|pinnacle,soft,high_ge6p5,0.1,pinnacle,3641,-0.00904,-0.00982,-0.10356,1063,0.08376,1358,-0.04855,892,0.02058,328
all|low_le4p5|tau0.06|book,all,low_le4p5,0.06,book,19130,-0.00914,-0.00926,-0.04154,4534,-0.02409,6066,0.01218,6366,0.0379,2164
superbook|low_le4p5|tau0.08|book,superbook,low_le4p5,0.08,book,199,-0.00984,-0.01053,,0,-0.00984,199,,0,,0
barstool|mid_5p5|tau0.02|pinnacle,barstool,mid_5p5,0.02,pinnacle,68,-0.00994,-0.01048,-0.00994,68,,0,,0,,0
fanduel|mid_5p5|tau0.1|book,fanduel,mid_5p5,0.1,book,613,-0.00999,-0.01041,-0.05458,149,-0.02559,224,0.14899,159,-0.1969,81
majors|mid_5p5|tau0.1|book,majors,mid_5p5,0.1,book,2204,-0.01036,-0.01081,-0.00781,625,-0.0268,844,0.09421,491,-0.17048,244
betrivers|low_le4p5|tau0.06|book,betrivers,low_le4p5,0.06,book,1615,-0.01043,-0.00938,-0.07638,336,-0.01636,416,0.00959,611,0.03875,252
bovada|mid_5p5|tau0.04|pinnacle,bovada,mid_5p5,0.04,pinnacle,982,-0.01064,-0.01104,-0.02301,130,0.0064,382,0.04438,327,-0.1707,143
williamhill_us|low_le4p5|tau0.08|book,williamhill_us,low_le4p5,0.08,book,963,-0.01094,-0.01158,-0.02026,351,-0.03276,504,0.12118,108,,0
fanduel|all|tau0.1|pinnacle,fanduel,all,0.1,pinnacle,1980,-0.01107,-0.01151,-0.01402,434,0.00084,646,-0.01046,637,-0.03691,263
majors|low_le4p5|tau0.08|pinnacle,majors,low_le4p5,0.08,pinnacle,5452,-0.01132,-0.01172,-0.00844,1229,-0.045,1926,0.0051,1781,0.05081,516
fanduel|mid_5p5|tau0.1|pinnacle,fanduel,mid_5p5,0.1,pinnacle,502,-0.01145,-0.01187,-0.01842,129,-0.02469,175,0.10505,120,-0.14944,78
unibet_us|low_le4p5|tau0.08|pinnacle,unibet_us,low_le4p5,0.08,pinnacle,158,-0.01163,-0.01235,-0.02852,124,0.04999,34,,0,,0
pinnacle|mid_5p5|tau0.08|book,pinnacle,mid_5p5,0.08,book,800,-0.01174,-0.01223,-0.03982,203,-0.02879,275,0.08548,212,-0.10464,110
superbook|mid_5p5|tau0.06|book,superbook,mid_5p5,0.06,book,149,-0.01202,-0.01289,,0,-0.01202,149,,0,,0
fanduel|low_le4p5|tau0.08|pinnacle,fanduel,low_le4p5,0.08,pinnacle,1381,-0.0122,-0.01251,-0.00327,252,-0.03201,428,-0.02639,517,0.06153,184
fanduel|low_le4p5|tau0.1|pinnacle,fanduel,low_le4p5,0.1,pinnacle,1021,-0.01234,-0.01265,0.02008,183,-0.0288,315,-0.02886,391,0.0309,132
pinnacle|all|tau0.08|book,pinnacle,all,0.08,book,3158,-0.01235,-0.01287,-0.03667,737,-0.02303,1021,0.0207,992,-0.02202,408
betmgm|mid_5p5|tau0.04|book,betmgm,mid_5p5,0.04,book,1243,-0.01301,-0.01357,-0.02672,326,-0.01053,396,0.02216,352,-0.06562,169
fanatics|low_le4p5|tau0.04|pinnacle,fanatics,low_le4p5,0.04,pinnacle,802,-0.01303,-0.01341,,0,,0,-0.03705,642,0.08338,160
betonlineag|mid_5p5|tau0.1|book,betonlineag,mid_5p5,0.1,book,521,-0.01322,-0.0137,0.00712,99,-0.02307,208,0.09582,147,-0.25189,67
mybookieag|all|tau0.1|pinnacle,mybookieag,all,0.1,pinnacle,1501,-0.01331,-0.01404,-0.01374,399,-0.00782,576,-0.03704,377,0.02663,149
superbook|mid_5p5|tau0.04|book,superbook,mid_5p5,0.04,book,178,-0.01433,-0.01549,,0,-0.01433,178,,0,,0
draftkings|low_le4p5|tau0.04|book,draftkings,low_le4p5,0.04,book,2703,-0.01501,-0.01558,-0.05284,560,-0.03266,835,0.00384,963,0.0365,345
superbook|all|tau0.08|pinnacle,superbook,all,0.08,pinnacle,406,-0.01504,-0.0163,,0,-0.01504,406,,0,,0
draftkings|all|tau0.06|book,draftkings,all,0.06,book,4041,-0.01531,-0.01604,-0.06959,951,-0.00458,1270,0.01456,1300,-0.0169,520
fanduel|low_le4p5|tau0.02|book,fanduel,low_le4p5,0.02,book,3202,-0.01579,-0.01628,-0.03753,635,-0.04506,987,0.02265,1128,-0.01728,452
fanatics|all|tau0.1|pinnacle,fanatics,all,0.1,pinnacle,637,-0.01597,-0.01652,,0,,0,-0.04883,500,0.10395,137
draftkings|mid_5p5|tau0.08|pinnacle,draftkings,mid_5p5,0.08,pinnacle,755,-0.01597,-0.0166,-0.03145,201,-0.00356,270,0.06695,195,-0.20031,89
fanatics|low_le4p5|tau0.02|book,fanatics,low_le4p5,0.02,book,1144,-0.01603,-0.01665,,0,,0,-0.03124,910,0.04315,234
draftkings|low_le4p5|tau0.04|pinnacle,draftkings,low_le4p5,0.04,pinnacle,2564,-0.0161,-0.01667,-0.0498,555,-0.03663,824,0.00864,886,0.02974,299
draftkings|low_le4p5|tau0.06|pinnacle,draftkings,low_le4p5,0.06,pinnacle,2091,-0.01644,-0.01698,-0.0454,444,-0.04583,675,0.00987,732,0.0396,240
betmgm|low_le4p5|tau0.08|pinnacle,betmgm,low_le4p5,0.08,pinnacle,1531,-0.0169,-0.0175,0.01611,303,-0.05622,492,-0.00353,583,-0.00673,153
betrivers|low_le4p5|tau0.06|pinnacle,betrivers,low_le4p5,0.06,pinnacle,542,-0.01699,-0.0176,-0.0417,155,0.00381,116,-0.02743,147,0.00683,124
bovada|high_ge6p5|tau0.06|book,bovada,high_ge6p5,0.06,book,670,-0.0174,-0.01867,-0.1378,111,0.00096,254,-0.03817,204,0.11072,101
fanatics|mid_5p5|tau0.04|book,fanatics,mid_5p5,0.04,book,352,-0.01748,-0.01839,,0,,0,0.00715,265,-0.0925,87
barstool|low_le4p5|tau0.08|book,barstool,low_le4p5,0.08,book,280,-0.0176,-0.01546,-0.0176,280,,0,,0,,0
majors|all|tau0.06|book,majors,all,0.06,book,14299,-0.01776,-0.01864,-0.05732,3691,-0.01279,4975,0.01447,4086,-0.02447,1547
all|all|tau0.08|pinnacle,all,all,0.08,pinnacle,23642,-0.01798,-0.0188,-0.04716,5835,-0.01634,8258,0.00098,7049,-0.00874,2500
unibet_us|high_ge6p5|tau0.04|book,unibet_us,high_ge6p5,0.04,book,547,-0.01815,-0.02117,-0.04735,357,0.0367,190,,0,,0
pointsbetus|low_le4p5|tau0.04|pinnacle,pointsbetus,low_le4p5,0.04,pinnacle,635,-0.01846,-0.01951,-0.024,488,-6e-05,147,,0,,0
betmgm|all|tau0.06|book,betmgm,all,0.06,book,3880,-0.01861,-0.0195,-0.04092,897,-0.01862,1231,0.00408,1257,-0.03578,495
draftkings|high_ge6p5|tau0.08|pinnacle,draftkings,high_ge6p5,0.08,pinnacle,622,-0.01864,-0.02005,-0.10691,182,0.07535,219,-0.0643,154,0.01883,67
soft|all|tau0.08|pinnacle,soft,all,0.08,pinnacle,20484,-0.01884,-0.01972,-0.04868,5098,-0.01539,7237,-0.00224,6057,-0.00615,2092
betonlineag|all|tau0.04|book,betonlineag,all,0.04,book,4394,-0.01899,-0.01982,-0.04946,873,-0.01399,1538,0.0096,1516,-0.07129,467
betmgm|all|tau0.08|pinnacle,betmgm,all,0.08,pinnacle,2870,-0.01907,-0.01993,-0.02827,660,-0.02228,965,0.00306,948,-0.0588,297
majors|all|tau0.08|pinnacle,majors,all,0.08,pinnacle,10310,-0.01927,-0.02017,-0.04107,2656,-0.01811,3775,0.00227,2908,-0.02859,971
mybookieag|high_ge6p5|tau0.06|book,mybookieag,high_ge6p5,0.06,book,578,-0.01951,-0.02146,-0.08123,181,0.01411,232,-0.00304,115,0.01002,50
fanatics|high_ge6p5|tau0.04|book,fanatics,high_ge6p5,0.04,book,244,-0.01964,-0.02167,,0,,0,-0.04307,184,0.05222,60
bovada|low_le4p5|tau0.04|pinnacle,bovada,low_le4p5,0.04,pinnacle,2205,-0.01967,-0.02027,-0.12321,228,-0.0336,803,0.00811,877,0.01544,297
barstool|high_ge6p5|tau0.02|book,barstool,high_ge6p5,0.02,book,400,-0.0197,-0.02311,-0.0197,400,,0,,0,,0
soft|all|tau0.06|book,soft,all,0.06,book,32504,-0.01988,-0.02033,-0.05109,8832,-0.01453,10831,0.00202,9371,-0.01625,3470
pointsbetus|low_le4p5|tau0.02|book,pointsbetus,low_le4p5,0.02,book,887,-0.01993,-0.02117,-0.02884,671,0.00774,216,,0,,0
bovada|low_le4p5|tau0.06|book,bovada,low_le4p5,0.06,book,1877,-0.01996,-0.02044,-0.07562,198,-0.04441,651,-0.00257,737,0.02859,291
pointsbetus|low_le4p5|tau0.04|book,pointsbetus,low_le4p5,0.04,book,735,-0.0201,-0.02128,-0.04534,566,0.06446,169,,0,,0
betonlineag|high_ge6p5|tau0.06|book,betonlineag,high_ge6p5,0.06,book,734,-0.02019,-0.0219,-0.077,187,0.05009,254,-0.05529,222,-0.01223,71
pointsbetus|mid_5p5|tau0.08|book,pointsbetus,mid_5p5,0.08,book,269,-0.02039,-0.0213,0.00864,184,-0.08324,85,,0,,0
betrivers|mid_5p5|tau0.1|book,betrivers,mid_5p5,0.1,book,386,-0.02043,-0.01545,0.02126,84,-0.0856,149,0.00579,98,0.04572,55
bovada|low_le4p5|tau0.06|pinnacle,bovada,low_le4p5,0.06,pinnacle,1789,-0.02073,-0.0213,-0.08283,178,-0.05025,655,0.00817,718,0.01977,238
fanduel|all|tau0.04|book,fanduel,all,0.04,book,4809,-0.02078,-0.0217,-0.03835,1112,-0.02104,1523,0.00085,1534,-0.04146,640
pointsbetus|all|tau0.06|book,pointsbetus,all,0.06,book,1197,-0.02095,-0.0223,-0.03563,894,0.02238,303,,0,,0
betmgm|mid_5p5|tau0.06|pinnacle,betmgm,mid_5p5,0.06,pinnacle,951,-0.02095,-0.02186,-0.04704,249,-0.02725,318,0.05802,270,-0.13343,114
fanatics|mid_5p5|tau0.08|book,fanatics,mid_5p5,0.08,book,227,-0.02095,-0.02196,,0,,0,0.00464,172,-0.101,55
all|all|tau0.06|book,all,all,0.06,book,36518,-0.02118,-0.02171,-0.05261,9778,-0.01673,12114,0.00298,10634,-0.02208,3992
fanduel|high_ge6p5|tau0.04|book,fanduel,high_ge6p5,0.04,book,938,-0.02124,-0.02301,-0.05283,279,0.00335,302,-0.06893,250,0.10318,107
bovada|all|tau0.06|book,bovada,all,0.06,book,3400,-0.02142,-0.02217,-0.086,418,-0.02501,1228,0.0056,1223,-0.0245,531
williamhill_us|all|tau0.08|book,williamhill_us,all,0.08,book,1974,-0.02147,-0.02299,-0.06653,769,-0.00537,997,0.06793,208,,0
draftkings|mid_5p5|tau0.1|book,draftkings,mid_5p5,0.1,book,599,-0.02153,-0.02233,-0.01165,159,0.00238,210,0.06008,151,-0.26096,79
majors|low_le4p5|tau0.04|book,majors,low_le4p5,0.04,book,9445,-0.02158,-0.02245,-0.054,2150,-0.02875,3268,0.00372,2992,-0.00469,1035
soft|high_ge6p5|tau0.06|book,soft,high_ge6p5,0.06,book,7383,-0.02165,-0.02397,-0.07677,2437,0.03392,2533,-0.04907,1735,0.03908,678
fanduel|low_le4p5|tau0.04|pinnacle,fanduel,low_le4p5,0.04,pinnacle,2240,-0.02165,-0.02232,-0.04492,432,-0.0327,692,-0.01536,813,0.01991,303
betmgm|mid_5p5|tau0.06|book,betmgm,mid_5p5,0.06,book,1007,-0.02189,-0.02277,-0.02603,256,-0.02792,324,0.02448,290,-0.09803,137
betmgm|mid_5p5|tau0.02|book,betmgm,mid_5p5,0.02,book,1501,-0.02196,-0.02296,-0.02629,398,-0.02881,469,0.00177,427,-0.04708,207
pointsbetus|mid_5p5|tau0.06|pinnacle,pointsbetus,mid_5p5,0.06,pinnacle,284,-0.02201,-0.02324,-0.01752,210,-0.03474,74,,0,,0
unibet_us|low_le4p5|tau0.08|book,unibet_us,low_le4p5,0.08,book,374,-0.02203,-0.01907,-0.03894,251,0.01249,123,,0,,0
mybookieag|low_le4p5|tau0.06|book,mybookieag,low_le4p5,0.06,book,1462,-0.02214,-0.0232,-0.03235,343,-0.02846,530,-0.04775,445,0.1046,144
superbook|high_ge6p5|tau0.06|book,superbook,high_ge6p5,0.06,book,117,-0.02221,-0.02503,,0,-0.02221,117,,0,,0
all|mid_5p5|tau0.08|pinnacle,all,mid_5p5,0.08,pinnacle,6000,-0.02231,-0.02328,-0.026,1573,-0.02954,2241,0.05487,1496,-0.15773,690
betrivers|all|tau0.06|book,betrivers,all,0.06,book,3451,-0.02235,-0.0204,-0.04924,801,-0.01773,1080,-0.02126,1109,0.01098,461
betonlineag|all|tau0.06|pinnacle,betonlineag,all,0.06,pinnacle,3250,-0.0226,-0.02349,-0.07353,640,-0.01165,1140,0.0058,1146,-0.06098,324
betrivers|low_le4p5|tau0.04|book,betrivers,low_le4p5,0.04,book,2093,-0.02263,-0.02067,-0.05721,437,-0.04683,537,0.00146,788,0.00493,331
betonlineag|low_le4p5|tau0.02|pinnacle,betonlineag,low_le4p5,0.02,pinnacle,2732,-0.02273,-0.02348,-0.06407,482,-0.02878,929,-0.01084,1046,0.02499,275
betmgm|low_le4p5|tau0.04|book,betmgm,low_le4p5,0.04,book,2602,-0.02276,-0.02371,-0.03971,522,-0.01783,812,-0.00846,929,-0.04767,339
unibet_us|high_ge6p5|tau0.02|book,unibet_us,high_ge6p5,0.02,book,650,-0.0228,-0.02597,-0.03832,438,0.00925,212,,0,,0
pinnacle|low_le4p5|tau0.06|book,pinnacle,low_le4p5,0.06,book,2200,-0.02346,-0.02415,-0.03071,454,-0.05324,682,0.00997,777,-0.03178,287
bovada|all|tau0.06|pinnacle,bovada,all,0.06,pinnacle,3179,-0.0235,-0.02437,-0.10719,362,-0.0207,1219,0.01258,1171,-0.05946,427
majors|mid_5p5|tau0.08|pinnacle,majors,mid_5p5,0.08,pinnacle,2663,-0.0239,-0.02495,-0.02565,747,-0.03337,1022,0.06036,623,-0.17701,271
soft|mid_5p5|tau0.08|pinnacle,soft,mid_5p5,0.08,pinnacle,5200,-0.02394,-0.02499,-0.02395,1370,-0.02965,1966,0.04982,1284,-0.1678,580
mybookieag|low_le4p5|tau0.1|pinnacle,mybookieag,low_le4p5,0.1,pinnacle,767,-0.02406,-0.02493,0.0603,175,-0.03249,274,-0.11075,245,0.09633,73
betonlineag|mid_5p5|tau0.08|pinnacle,betonlineag,mid_5p5,0.08,pinnacle,639,-0.02409,-0.0251,-0.03673,135,-0.03442,247,0.05599,188,-0.18056,69
fanatics|all|tau0.08|pinnacle,fanatics,all,0.08,pinnacle,835,-0.02428,-0.02511,,0,,0,-0.05276,660,0.08312,175
superbook|mid_5p5|tau0.04|pinnacle,superbook,mid_5p5,0.04,pinnacle,170,-0.02433,-0.02604,,0,-0.02433,170,,0,,0
soft|low_le4p5|tau0.04|book,soft,low_le4p5,0.04,book,21279,-0.02439,-0.02479,-0.05761,5183,-0.03546,6845,-0.00163,6903,0.01429,2348
all|low_le4p5|tau0.04|book,all,low_le4p5,0.04,book,23985,-0.02446,-0.02491,-0.05575,5751,-0.03647,7682,-0.00064,7846,0.00709,2706
williamhill_us|low_le4p5|tau0.08|pinnacle,williamhill_us,low_le4p5,0.08,pinnacle,931,-0.02454,-0.02596,-0.03017,336,-0.04968,491,0.11234,104,,0
pointsbetus|high_ge6p5|tau0.02|book,pointsbetus,high_ge6p5,0.02,book,359,-0.02464,-0.02712,-0.04776,280,0.05732,79,,0,,0
barstool|mid_5p5|tau0.04|pinnacle,barstool,mid_5p5,0.04,pinnacle,54,-0.02469,-0.02583,-0.02469,54,,0,,0,,0
mybookieag|all|tau0.08|book,mybookieag,all,0.08,book,2194,-0.02474,-0.02622,-0.01602,571,-0.03011,841,-0.02394,559,-0.02882,223
barstool|mid_5p5|tau0.1|pinnacle,barstool,mid_5p5,0.1,pinnacle,23,-0.02488,-0.02585,-0.02488,23,,0,,0,,0
betmgm|high_ge6p5|tau0.1|pinnacle,betmgm,high_ge6p5,0.1,pinnacle,513,-0.02491,-0.02691,-0.09718,142,0.07255,184,-0.05679,142,-0.09474,45
superbook|all|tau0.06|book,superbook,all,0.06,book,530,-0.02496,-0.02702,,0,-0.02496,530,,0,,0
pinnacle|low_le4p5|tau0.04|book,pinnacle,low_le4p5,0.04,book,2706,-0.025,-0.02581,-0.03881,568,-0.04471,837,0.00656,943,-0.04011,358
all|high_ge6p5|tau0.06|book,all,high_ge6p5,0.06,book,8157,-0.02543,-0.02812,-0.08032,2657,0.02995,2793,-0.05123,1937,0.02792,770
fanduel|all|tau0.08|pinnacle,fanduel,all,0.08,pinnacle,2587,-0.02543,-0.02644,-0.03236,562,-0.02617,846,-0.01881,840,-0.02849,339
betonlineag|all|tau0.04|pinnacle,betonlineag,all,0.04,pinnacle,3955,-0.02544,-0.0265,-0.0672,813,-0.01266,1360,-0.00483,1388,-0.05594,394
bovada|mid_5p5|tau0.04|book,bovada,mid_5p5,0.04,book,1037,-0.02544,-0.0263,-0.03761,146,0.01416,386,0.04263,330,-0.23096,175
fanatics|low_le4p5|tau0.1|pinnacle,fanatics,low_le4p5,0.1,pinnacle,380,-0.02577,-0.02626,,0,,0,-0.07292,310,0.18305,70
fanduel|high_ge6p5|tau0.02|book,fanduel,high_ge6p5,0.02,book,1034,-0.02591,-0.02803,-0.05012,307,0.00874,326,-0.0791,267,0.05122,134
all|mid_5p5|tau0.08|book,all,mid_5p5,0.08,book,7204,-0.02595,-0.02551,-0.01299,1978,-0.04103,2634,0.04646,1771,-0.16498,821
pointsbetus|low_le4p5|tau0.06|pinnacle,pointsbetus,low_le4p5,0.06,pinnacle,508,-0.02604,-0.02759,-0.01081,388,-0.0753,120,,0,,0
bovada|high_ge6p5|tau0.04|book,bovada,high_ge6p5,0.04,book,750,-0.02606,-0.028,-0.1347,127,-0.00558,288,-0.07875,226,0.15568,109
bovada|all|tau0.04|book,bovada,all,0.04,book,4096,-0.02611,-0.02712,-0.09687,542,-0.02691,1477,0.00082,1445,-0.02512,632
betrivers|high_ge6p5|tau0.02|book,betrivers,high_ge6p5,0.02,book,1647,-0.02613,-0.02778,-0.04133,435,-0.01999,559,-0.05982,487,0.09182,166
all|low_le4p5|tau0.06|pinnacle,all,low_le4p5,0.06,pinnacle,16513,-0.02641,-0.02737,-0.04151,3666,-0.0503,5539,-0.00681,5543,0.01836,1765
bovada|low_le4p5|tau0.04|book,bovada,low_le4p5,0.04,book,2309,-0.02643,-0.0272,-0.11117,269,-0.0543,803,0.00553,889,0.02176,348
bovada|all|tau0.04|pinnacle,bovada,all,0.04,pinnacle,3872,-0.02666,-0.02771,-0.11227,464,-0.01676,1464,0.0004,1419,-0.05175,525
soft|low_le4p5|tau0.06|pinnacle,soft,low_le4p5,0.06,pinnacle,14313,-0.02686,-0.02786,-0.04304,3212,-0.04989,4857,-0.00954,4766,0.02809,1478
pinnacle|mid_5p5|tau0.06|book,pinnacle,mid_5p5,0.06,book,1040,-0.02704,-0.0283,-0.08427,272,-0.01965,341,0.06731,284,-0.12316,143
betonlineag|low_le4p5|tau0.02|book,betonlineag,low_le4p5,0.02,book,3038,-0.02713,-0.02806,-0.0806,521,-0.04199,1029,0.00147,1156,0.00325,332
unibet_us|low_le4p5|tau0.1|pinnacle,unibet_us,low_le4p5,0.1,pinnacle,108,-0.02714,-0.02849,-0.01426,87,-0.08052,21,,0,,0
all|low_le4p5|tau0.04|pinnacle,all,low_le4p5,0.04,pinnacle,20358,-0.02725,-0.02829,-0.05321,4625,-0.04165,6771,-0.00714,6747,0.00976,2215
draftkings|all|tau0.04|book,draftkings,all,0.04,book,4931,-0.02725,-0.02856,-0.07061,1168,-0.01992,1547,-0.00236,1584,-0.02746,632
betmgm|all|tau0.04|book,betmgm,all,0.04,book,4742,-0.02752,-0.02888,-0.05327,1106,-0.01408,1505,-0.01322,1516,-0.04936,615
williamhill_us|high_ge6p5|tau0.08|pinnacle,williamhill_us,high_ge6p5,0.08,pinnacle,430,-0.02766,-0.03048,-0.11328,178,0.06733,211,-0.1448,41,,0
barstool|mid_5p5|tau0.06|pinnacle,barstool,mid_5p5,0.06,pinnacle,39,-0.02769,-0.02862,-0.02769,39,,0,,0,,0
soft|low_le4p5|tau0.04|pinnacle,soft,low_le4p5,0.04,pinnacle,17654,-0.0277,-0.02879,-0.05523,4057,-0.04138,5935,-0.00954,5805,0.01938,1857
draftkings|all|tau0.06|pinnacle,draftkings,all,0.06,pinnacle,3808,-0.02771,-0.02893,-0.07248,930,-0.01885,1263,0.0047,1183,-0.04605,432
soft|mid_5p5|tau0.08|book,soft,mid_5p5,0.08,book,6404,-0.02772,-0.02707,-0.00992,1775,-0.04245,2359,0.04115,1559,-0.17432,711
majors|low_le4p5|tau0.04|pinnacle,majors,low_le4p5,0.04,pinnacle,8752,-0.02775,-0.02884,-0.04772,2039,-0.04239,3093,-0.00431,2761,-0.00295,859
mybookieag|low_le4p5|tau0.08|pinnacle,mybookieag,low_le4p5,0.08,pinnacle,1030,-0.02776,-0.02892,0.01362,233,-0.05556,377,-0.07279,323,0.1308,97
bovada|mid_5p5|tau0.06|book,bovada,mid_5p5,0.06,book,853,-0.02778,-0.0286,-0.05212,109,-0.00631,323,0.05865,282,-0.23391,139
fanduel|all|tau0.02|book,fanduel,all,0.02,book,5769,-0.02794,-0.02921,-0.04629,1344,-0.031,1809,-0.00034,1821,-0.05316,795
fanatics|all|tau0.06|pinnacle,fanatics,all,0.06,pinnacle,1066,-0.02802,-0.02911,,0,,0,-0.03841,837,0.00996,229
superbook|high_ge6p5|tau0.02|pinnacle,superbook,high_ge6p5,0.02,pinnacle,118,-0.02825,-0.03173,,0,-0.02825,118,,0,,0
fanduel|low_le4p5|tau0.02|pinnacle,fanduel,low_le4p5,0.02,pinnacle,2740,-0.02828,-0.02927,-0.05934,524,-0.03532,847,-0.02349,991,0.01802,378
majors|low_le4p5|tau0.06|pinnacle,majors,low_le4p5,0.06,pinnacle,7106,-0.0283,-0.02936,-0.04179,1619,-0.05194,2526,-0.00237,2273,0.00459,688
bovada|high_ge6p5|tau0.08|pinnacle,bovada,high_ge6p5,0.08,pinnacle,503,-0.02837,-0.03047,-0.23934,77,0.05218,208,-0.03881,156,-0.01033,62
draftkings|low_le4p5|tau0.02|pinnacle,draftkings,low_le4p5,0.02,pinnacle,3122,-0.02842,-0.02954,-0.06433,672,-0.0424,1010,-0.00862,1070,0.0177,370
betmgm|high_ge6p5|tau0.08|book,betmgm,high_ge6p5,0.08,book,674,-0.02858,-0.03092,-0.09954,184,0.06257,230,-0.07249,178,-0.02971,82
superbook|all|tau0.06|pinnacle,superbook,all,0.06,pinnacle,516,-0.02883,-0.03128,,0,-0.02883,516,,0,,0
draftkings|high_ge6p5|tau0.06|book,draftkings,high_ge6p5,0.06,book,831,-0.02886,-0.03127,-0.13181,225,0.03789,271,-0.03227,227,0.02528,108
fanduel|low_le4p5|tau0.06|pinnacle,fanduel,low_le4p5,0.06,pinnacle,1808,-0.02889,-0.02974,-0.04082,337,-0.04351,563,-0.02818,666,0.01976,242
superbook|low_le4p5|tau0.1|pinnacle,superbook,low_le4p5,0.1,pinnacle,140,-0.02915,-0.03124,,0,-0.02915,140,,0,,0
unibet_us|mid_5p5|tau0.1|pinnacle,unibet_us,mid_5p5,0.1,pinnacle,50,-0.02916,-0.03062,-0.02127,37,-0.05161,13,,0,,0
majors|high_ge6p5|tau0.06|book,majors,high_ge6p5,0.06,book,3003,-0.02963,-0.03221,-0.10046,913,0.03189,1061,-0.0515,725,0.0205,304
fanatics|mid_5p5|tau0.06|book,fanatics,mid_5p5,0.06,book,289,-0.02969,-0.03117,,0,,0,0.00633,215,-0.13435,74
betonlineag|mid_5p5|tau0.08|book,betonlineag,mid_5p5,0.08,book,696,-0.02976,-0.03088,-0.02378,145,-0.02656,264,0.05521,204,-0.2592,83
