signal,market,book_group,bucket,theta,anchor,n_games,n_quotes,clv_mean,clv_sharpe,clv_p,realized_roi,roi_fdr_survive,season_sign_consistent,is_control
static_over,totals,all,all,na,open,7262,46116,-0.01671896106280573,-0.028889649192397778,0.9930898383557288,-0.05094866786455331,False,False,False
static_over,totals,all,low,na,open,1757,8618,0.17066292652519174,0.2996205857273758,1.772342166572886e-36,-0.025515883523347133,True,True,False
static_over,totals,all,mid,na,open,5376,30863,-0.03745083971088435,-0.06765276890114864,0.9999996482282812,-0.05056264530724386,False,False,False
static_over,totals,all,high,na,open,1323,6635,-0.18171453766691859,-0.25738925679113134,1.0,-0.07238497947757314,False,True,False
static_over,totals,pinnacle,all,na,open,7156,7156,-0.01621017328116266,-0.027803534630878587,0.9906633215389129,-0.04098434364655034,False,False,False
static_over,totals,pinnacle,low,na,open,1300,1300,0.13192307692307692,0.2425989697817424,1.0952049856567294e-18,-0.00899911306199695,True,True,False
static_over,totals,pinnacle,mid,na,open,4854,4854,-0.03265348166460651,-0.057371748932759134,0.9999679420815185,-0.03867050194097337,False,False,False
static_over,totals,pinnacle,high,na,open,1002,1002,-0.12874251497005987,-0.1956583894335182,0.9999999997056852,-0.09365919610982924,False,True,False
static_over,totals,soft,all,na,open,7262,38960,-0.016759616267327644,-0.028786736049191068,0.9929190408803774,-0.052976271203366475,False,False,False
static_over,totals,soft,low,na,open,1727,7318,0.168070835745995,0.292442269330125,2.7622627694392593e-34,-0.024879748102826133,True,True,False
static_over,totals,soft,mid,na,open,5335,26009,-0.038020930959075286,-0.06846056228927218,0.9999997139925247,-0.05352664554079363,False,False,False
static_over,totals,soft,high,na,open,1308,5633,-0.17945973496432213,-0.25090310550546807,1.0,-0.07931556301569839,False,True,False
static_over,totals,majors,all,na,open,7259,21707,-0.015119162419065987,-0.025670803436302424,0.9856340818296212,-0.05336677805163832,False,False,False
static_over,totals,majors,low,na,open,1636,4094,0.1552057864710676,0.26717478242854936,1.6024687338415098e-27,-0.03309446523299577,True,True,False
static_over,totals,majors,mid,na,open,5215,14465,-0.03440396292745286,-0.061420749424973886,0.9999954069895949,-0.053572747725978705,False,False,False
static_over,totals,majors,high,na,open,1224,3148,-0.15897331154684094,-0.22236288255674722,0.9999999999999963,-0.0790171473158327,False,True,False
static_over,totals,bovada,all,na,open,7121,7121,-0.019028226372700463,-0.031212553376351253,0.9957795211234063,-0.05393633001675466,False,False,False
static_over,totals,bovada,low,na,open,1294,1294,0.15262751159196292,0.26556095150412784,6.31097497685062e-22,-0.018203444411089682,True,True,False
static_over,totals,bovada,mid,na,open,4771,4771,-0.03227834835464263,-0.05644222676378821,0.9999516250809215,-0.05510128831189952,False,False,False
static_over,totals,bovada,high,na,open,1056,1056,-0.16950757575757575,-0.2254937982816273,0.9999999999998829,-0.09242553935575908,False,True,False
static_under,totals,all,all,na,open,7262,46116,0.01671896106280573,0.028889649192397778,0.0069101616442711275,-0.030245508719426866,True,False,False
static_under,totals,all,low,na,open,1757,8618,-0.17066292652519174,-0.2996205857273758,1.0,-0.0586750588448197,False,True,False
static_under,totals,all,mid,na,open,5376,30863,0.03745083971088435,0.06765276890114864,3.51771718702713e-07,-0.030253887902534377,True,False,False
static_under,totals,all,high,na,open,1323,6635,0.18171453766691859,0.25738925679113134,3.910711779521623e-21,-0.010375312071399636,True,True,False
static_under,totals,pinnacle,all,na,open,7156,7156,0.01621017328116266,0.027803534630878587,0.00933667846108711,-0.014751165941381025,True,False,False
static_under,totals,pinnacle,low,na,open,1300,1300,-0.13192307692307692,-0.2425989697817424,1.0,-0.04754577636183115,False,True,False
static_under,totals,pinnacle,mid,na,open,4854,4854,0.03265348166460651,0.057371748932759134,3.205791848149994e-05,-0.01692429613180318,True,False,False
static_under,totals,pinnacle,high,na,open,1002,1002,0.12874251497005987,0.1956583894335182,2.9431484704700904e-10,0.03829132196328349,True,True,False
static_under,totals,soft,all,na,open,7262,38960,0.016759616267327644,0.028786736049191068,0.007080959119622558,-0.032919503731931296,True,False,False
static_under,totals,soft,low,na,open,1727,7318,-0.168070835745995,-0.292442269330125,1.0,-0.06355902982183662,False,True,False
static_under,totals,soft,mid,na,open,5335,26009,0.038020930959075286,0.06846056228927218,2.860074752076376e-07,-0.03200547094667365,True,False,False
static_under,totals,soft,high,na,open,1308,5633,0.17945973496432213,0.25090310550546807,5.724066347404441e-20,-0.008621954174103719,True,True,False
static_under,totals,majors,all,na,open,7259,21707,0.015119162419065987,0.025670803436302424,0.014365918170378782,-0.03340321310280433,True,False,False
static_under,totals,majors,low,na,open,1636,4094,-0.1552057864710676,-0.26717478242854936,1.0,-0.05567439413078138,False,True,False
static_under,totals,majors,mid,na,open,5215,14465,0.03440396292745286,0.061420749424973886,4.593010405128443e-06,-0.03289648974172599,True,False,False
static_under,totals,majors,high,na,open,1224,3148,0.15897331154684094,0.22236288255674722,3.6399074308243085e-15,-0.009401758802409121,True,True,False
static_under,totals,bovada,all,na,open,7121,7121,0.019028226372700463,0.031212553376351253,0.004220478876593666,-0.031632153364369996,True,False,False
static_under,totals,bovada,low,na,open,1294,1294,-0.15262751159196292,-0.26556095150412784,1.0,-0.06945326213963357,False,True,False
static_under,totals,bovada,mid,na,open,4771,4771,0.03227834835464263,0.05644222676378821,4.837491907850782e-05,-0.029916784296668164,True,False,False
static_under,totals,bovada,high,na,open,1056,1056,0.16950757575757575,0.2254937982816273,1.1708455131637739e-13,0.006927191166321604,True,True,False
reversion,totals,all,all,0.5,t50,4375,14184,0.11906149659863945,0.26327197091780785,3.2414726974863114e-68,-0.06489641991884018,True,True,False
reversion,totals,all,all,0.5,t75,4805,18087,0.066534116247956,0.21910652867113484,2.1217876472270944e-52,-0.0659025530943971,True,True,False
reversion,totals,all,all,1,t50,662,2387,0.28284239677744205,0.3122609971266317,4.706661245301019e-16,-0.008408772105895563,True,True,False
reversion,totals,all,all,1,t75,884,2956,0.07257999353587588,0.15287618598952551,2.7423872879899583e-06,-0.06090269313489372,True,False,False
reversion,totals,all,low,0.5,t50,951,2842,0.16544113965249613,0.3109416330629827,4.451126622687452e-22,-0.041321437541954574,True,True,False
reversion,totals,all,low,0.5,t75,1106,3920,0.06574420907603548,0.22612378062046848,2.736650781830034e-14,-0.054149905327210646,True,False,False
reversion,totals,all,low,1,t50,159,570,0.5087975441749027,0.49230167713504464,2.68848920298845e-10,0.025366512214707992,True,True,False
reversion,totals,all,low,1,t75,242,727,0.051328217237308155,0.1238938358849903,0.026968899083455067,-0.08287841222587684,True,False,False
reversion,totals,all,mid,0.5,t50,2918,8519,0.08939913182545123,0.2618903219565391,9.754997765321894e-46,-0.08147860153970697,True,True,False
reversion,totals,all,mid,0.5,t75,3157,10821,0.061403230915426044,0.21857941607067424,5.703045103427092e-35,-0.07327995060826854,True,True,False
reversion,totals,all,mid,1,t50,340,1103,0.1175280112044818,0.28185010383799375,1.0123299112175303e-07,-0.07047129458041167,True,True,False
reversion,totals,all,mid,1,t75,434,1417,0.08774687294272547,0.2797136328825184,2.8185753251951594e-09,-0.10832155776862515,True,True,False
reversion,totals,all,high,0.5,t50,860,2823,0.18419296788482836,0.2600018646028254,1.2225256434747595e-14,-0.03566722629889181,True,True,False
reversion,totals,all,high,0.5,t75,889,3346,0.07499196529005303,0.16228744693968952,6.531952740029695e-07,-0.06296736227014749,True,False,False
reversion,totals,all,high,1,t50,194,714,0.3651755031909671,0.2778256627793167,5.4492790681763945e-05,0.06945109905118356,True,True,False
reversion,totals,all,high,1,t75,235,812,0.04017223910840932,0.05482539194499768,0.2003260044350929,0.04688680518437206,False,False,False
reversion,totals,pinnacle,all,0.5,t50,2429,2429,0.1288596130094689,0.2586440424053544,1.6148485902172223e-37,-0.05632088047413657,True,True,False
reversion,totals,pinnacle,all,0.5,t75,2939,2939,0.07128274923443348,0.2086794234180378,5.654917845744122e-30,-0.05087333187233228,True,True,False
reversion,totals,pinnacle,all,1,t50,344,344,0.29505813953488375,0.32466101864545516,8.636939045417648e-10,0.07165593667786406,True,False,False
reversion,totals,pinnacle,all,1,t75,439,439,0.06264236902050115,0.13309390810792815,0.002646598950294366,-0.023726182982366194,True,False,False
reversion,totals,pinnacle,low,0.5,t50,484,484,0.1890495867768595,0.3159268594035649,1.821377018792902e-12,-0.021372606712668735,True,True,False
reversion,totals,pinnacle,low,0.5,t75,635,635,0.06220472440944882,0.1953378693357618,4.275352460675965e-07,-0.020203808705999974,True,False,False
reversion,totals,pinnacle,low,1,t50,85,85,0.5235294117647059,0.467252226754199,8.242355964523467e-06,0.16809495574325628,True,True,False
reversion,totals,pinnacle,low,1,t75,109,109,0.03669724770642202,0.0764987110374605,0.21224089595913484,-0.03609326471447923,False,False,False
reversion,totals,pinnacle,mid,0.5,t50,1470,1470,0.10238095238095238,0.27056237822342255,1.6362482272964626e-25,-0.09203236308233749,True,True,False
reversion,totals,pinnacle,mid,0.5,t75,1775,1775,0.08309859154929577,0.26649237426260586,1.4936755440773924e-29,-0.0666702884426762,True,True,False
reversion,totals,pinnacle,mid,1,t50,159,159,0.14465408805031446,0.3488115143009652,5.453953237286564e-06,-0.0018157311359781885,True,False,False
reversion,totals,pinnacle,mid,1,t75,216,216,0.11342592592592593,0.3631794962569083,4.7085545802440904e-08,-0.03694172992863923,True,True,False
reversion,totals,pinnacle,high,0.5,t50,475,475,0.14947368421052631,0.22122691200440686,7.123108616850712e-07,0.01858630885955802,True,True,False
reversion,totals,pinnacle,high,0.5,t75,529,529,0.04253308128544423,0.09524540783692899,0.014238768459673694,-0.034683443967342825,True,False,False
reversion,totals,pinnacle,high,1,t50,100,100,0.34,0.28345265670494574,0.0022946820912957966,0.10650272229628989,True,False,False
reversion,totals,pinnacle,high,1,t75,114,114,-0.008771929824561403,-0.013188259001860885,0.5559907975336645,0.013138466571978539,False,False,False
reversion,totals,soft,all,0.5,t50,4235,11755,0.11864817001180637,0.2578388845796905,1.728004291234463e-63,-0.06574602165467461,True,True,False
reversion,totals,soft,all,0.5,t75,4697,15148,0.06255056418990844,0.20523182092083908,3.094474845635703e-45,-0.06825058903110551,True,True,False
reversion,totals,soft,all,1,t50,645,2043,0.2775193798449612,0.30260076832671284,7.643495532069477e-15,-0.009274691369400314,True,True,False
