signal,market,book_group,bucket,theta,anchor,n_games,n_quotes,clv_mean,clv_sharpe,clv_p,realized_roi,roi_fdr_survive,season_sign_consistent,is_control
static_over,totals,all,all,na,open,700,4894,-0.3156632653061225,-0.7942257638774117,1.0,-0.15103989874213197,False,True,False
static_over,totals,all,low,na,open,167,1118,-0.26988166524094664,-0.6616458683096493,1.0,-0.08990031700535946,False,True,False
static_over,totals,all,mid,na,open,375,2542,-0.30393968253968257,-0.7659047169979442,1.0,-0.16366880021235033,False,True,False
static_over,totals,all,high,na,open,180,1234,-0.37150793650793645,-0.9203787524365109,1.0,-0.15054183126079992,False,True,False
static_over,totals,pinnacle,all,na,open,700,700,-0.3221428571428571,-0.6658653837499767,1.0,-0.1337221494102228,False,True,False
static_over,totals,pinnacle,low,na,open,158,158,-0.2879746835443038,-0.5842155018541533,0.999999999999896,-0.06979444896063178,False,True,False
static_over,totals,pinnacle,mid,na,open,363,363,-0.3154269972451791,-0.6746408911916502,1.0,-0.1654408977177951,False,True,False
static_over,totals,pinnacle,high,na,open,179,179,-0.3659217877094972,-0.7215232110616224,1.0,-0.1258264568704833,False,True,False
static_over,totals,soft,all,na,open,700,4194,-0.3146190476190476,-0.7802730566062038,1.0,-0.15393241928553533,False,True,False
static_over,totals,soft,low,na,open,166,960,-0.2731425702811245,-0.6666194860882421,1.0,-0.09845289838518838,False,True,False
static_over,totals,soft,mid,na,open,375,2179,-0.3030444444444445,-0.7497020750029024,1.0,-0.1665110170601085,False,True,False
static_over,totals,soft,high,na,open,179,1055,-0.3681564245810056,-0.9112989420152209,1.0,-0.16000990942062382,False,True,False
static_over,totals,majors,all,na,open,700,2095,-0.31464285714285717,-0.7560782655956737,1.0,-0.1550174772183943,False,True,False
static_over,totals,majors,low,na,open,164,478,-0.2693089430894309,-0.6169030287198586,0.9999999999999986,-0.09806923034083995,False,True,False
static_over,totals,majors,mid,na,open,374,1094,-0.30815508021390375,-0.7559695962708374,1.0,-0.16983189397936804,False,True,False
static_over,totals,majors,high,na,open,179,523,-0.35614525139664804,-0.8175984869015711,1.0,-0.16073711777899335,False,True,False
static_over,totals,bovada,all,na,open,700,700,-0.33071428571428574,-0.6634444755888546,1.0,-0.1567157870302751,False,True,False
static_over,totals,bovada,low,na,open,160,160,-0.28125,-0.5549173308434241,0.9999999999988843,-0.10872538365464783,False,True,False
static_over,totals,bovada,mid,na,open,364,364,-0.3159340659340659,-0.6304193720646029,1.0,-0.16631282624684116,False,True,False
static_over,totals,bovada,high,na,open,176,176,-0.40625,-0.8475834971772018,1.0,-0.18049500444658365,False,True,False
static_under,totals,all,all,na,open,700,4894,0.3156632653061225,0.7942257638774117,2.4815875465316273e-98,0.033477981975993054,True,True,False
static_under,totals,all,low,na,open,167,1118,0.26988166524094664,0.6616458683096493,6.135845390641989e-18,-0.02861367232272716,True,True,False
static_under,totals,all,mid,na,open,375,2542,0.30393968253968257,0.7659047169979442,4.570733055042507e-50,0.04808208135151133,True,True,False
static_under,totals,all,high,na,open,180,1234,0.37150793650793645,0.9203787524365109,2.4913951300747496e-35,0.029994350351514414,True,True,False
static_under,totals,pinnacle,all,na,open,700,700,0.3221428571428571,0.6658653837499767,9.098420631304809e-70,0.055281782437745744,True,True,False
static_under,totals,pinnacle,low,na,open,158,158,0.2879746835443038,0.5842155018541533,1.0405915169895036e-13,-0.009116246661247248,True,True,False
static_under,totals,pinnacle,mid,na,open,363,363,0.3154269972451791,0.6746408911916502,4.103065330858942e-38,0.08810372279930243,True,True,False
static_under,totals,pinnacle,high,na,open,179,179,0.3659217877094972,0.7215232110616224,2.379415360287149e-22,0.04556404079749885,True,True,False
