pitcher_id,player_name,game_date,line_commence_date,game_year,bookmaker_key,over_price,under_price,pred_mean_k,line,is_integer_line,model_p_over,model_p_under,model_p_push,model_p_over_cond,model_p_under_cond,book_devig_over,book_devig_under,book_hold,devig_valid,edge_over,edge_under,ev_over,ev_under,best_side,best_edge,best_ev,pinnacle_devig_over_same_line,edge_vs_pinnacle,is_pinnacle
607192,Tyler Glasnow,2023-06-25,2023-06-25,2023,draftkings,-105.0,-125.0,5.874,8.5,False,0.1429,0.8571,0.0,0.1429,0.8571,0.4797,0.5203,0.06775,True,-0.3368,0.3368,-0.721,0.54278,under,0.3368,0.54278,0.48174,-0.33884,False
607192,Tyler Glasnow,2023-06-25,2023-06-25,2023,betmgm,-105.0,-125.0,5.874,8.5,False,0.1429,0.8571,0.0,0.1429,0.8571,0.4797,0.5203,0.06775,True,-0.3368,0.3368,-0.721,0.54278,under,0.3368,0.54278,0.48174,-0.33884,False
693433,Bryan Woo,2023-06-10,2023-06-11,2023,betonlineag,-125.0,-103.0,2.973,4.5,False,0.1859,0.8141,0.0,0.1859,0.8141,0.52266,0.47734,0.06294,True,-0.33676,0.33676,-0.66538,0.60449,under,0.33676,0.60449,0.498,-0.3121,False
601713,Nick Pivetta,2025-04-11,2025-04-12,2025,williamhill_us,-160.0,116.0,4.954,6.5,False,0.2342,0.7658,0.0,0.2342,0.7658,0.57067,0.42933,0.07835,True,-0.33647,0.33647,-0.61942,0.65413,under,0.33647,0.65413,0.58297,-0.34877,False
669923,George Kirby,2023-06-25,2023-06-25,2023,fanduel,100.0,-128.0,6.8,4.5,False,0.8074,0.1926,0.0,0.8074,0.1926,0.47107,0.52893,0.0614,True,0.33633,-0.33633,0.6148,-0.65693,over,0.33633,0.6148,0.47881,0.32859,False
605400,Aaron Nola,2025-03-30,2025-03-30,2025,pinnacle,139.0,-190.0,7.2,5.5,False,0.7255,0.2745,0.0,0.7255,0.2745,0.38973,0.61027,0.07358,True,0.33577,-0.33577,0.73394,-0.58103,over,0.33577,0.73394,0.38973,0.33577,True
700241,Michael McGreevy,2024-09-24,2024-09-25,2024,pinnacle,102.0,-136.0,5.487,3.5,False,0.7978,0.2022,0.0,0.7978,0.2022,0.46209,0.53791,0.07132,True,0.33571,-0.33571,0.61156,-0.64912,over,0.33571,0.61156,0.46209,0.33571,True
695549,Jackson Jobe,2025-03-31,2025-04-01,2025,fanatics,-145.0,110.0,3.156,4.5,False,0.2187,0.7813,0.0,0.2187,0.7813,0.55414,0.44586,0.06803,True,-0.33544,0.33544,-0.63047,0.64073,under,0.33544,0.64073,0.54917,-0.33047,False
489119,Wade Miley,2023-05-04,2023-05-04,2023,fanduel,130.0,-166.0,5.013,3.5,False,0.7458,0.2542,0.0,0.7458,0.2542,0.41062,0.58938,0.05884,True,0.33518,-0.33518,0.71534,-0.59267,over,0.33518,0.71534,0.40289,0.34291,False
621111,Walker Buehler,2024-05-06,2024-05-07,2024,pointsbetus,-160.0,120.0,3.263,4.5,False,0.2401,0.7599,0.0,0.2401,0.7599,0.57516,0.42484,0.06993,True,-0.33506,0.33506,-0.60984,0.67178,under,0.33506,0.67178,,,False
700241,Michael McGreevy,2024-09-24,2024-09-25,2024,fanduel,104.0,-132.0,5.487,3.5,False,0.7978,0.2022,0.0,0.7978,0.2022,0.46282,0.53718,0.05916,True,0.33498,-0.33498,0.62751,-0.64462,over,0.33498,0.62751,0.46209,0.33571,False
594798,Jacob deGrom,2025-04-11,2025-04-12,2025,williamhill_us,-174.0,126.0,5.093,6.5,False,0.2545,0.7455,0.0,0.2545,0.7455,0.58935,0.41065,0.07751,True,-0.33485,0.33485,-0.59924,0.68483,under,0.33485,0.68483,0.59254,-0.33804,False
489119,Wade Miley,2023-05-04,2023-05-04,2023,betmgm,130.0,-165.0,5.013,3.5,False,0.7458,0.2542,0.0,0.7458,0.2542,0.41117,0.58883,0.05742,True,0.33463,-0.33463,0.71534,-0.59174,over,0.33463,0.71534,0.40289,0.34291,False
489119,Wade Miley,2023-05-04,2023-05-04,2023,pointsbetus,125.0,-175.0,5.013,3.5,False,0.7458,0.2542,0.0,0.7458,0.2542,0.41121,0.58879,0.08081,True,0.33459,-0.33459,0.67805,-0.60054,over,0.33459,0.67805,0.40289,0.34291,False
663485,Cole Sands,2025-07-27,2025-07-27,2025,betonlineag,132.0,-172.0,2.57,1.5,False,0.7398,0.2602,0.0,0.7398,0.2602,0.40534,0.59466,0.06339,True,0.33446,-0.33446,0.71634,-0.58852,over,0.33446,0.71634,0.41325,0.32655,False
