metric,variant,total_sd_pct,between_league_sd_pct,within_league_sd_pct,between_league_share_pct,player_type
woba,level_normalised,2.191,1.383,1.7,39.8,batter
woba,league_normalised (headline),1.445,0.103,1.442,0.5,batter
k_pct,level_normalised,3.728,2.384,2.866,40.9,batter
k_pct,league_normalised (headline),2.181,0.216,2.17,1.0,batter
bb_pct,level_normalised,4.174,1.84,3.747,19.4,batter
bb_pct,league_normalised (headline),3.131,0.264,3.12,0.7,batter
iso,level_normalised,6.058,3.884,4.649,41.1,batter
iso,league_normalised (headline),3.481,0.187,3.476,0.3,batter
